Epoch 85, Loss nan, Accuracy 0.2796, Val Loss 1.4651, Val Accuracy 0.3709, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.2794, Val Loss 1.4660, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.2803, Val Loss 1.4615, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.2817, Val Loss 1.4572, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.50, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.2885, Val Loss 1.4408, Val Accuracy 0.3958, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.2787, Val Loss 1.4690, Val Accuracy 0.3706, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.2798, Val Loss 1.4666, Val Accuracy 0.3706, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.2927, Val Loss 1.2903, Val Accuracy 0.4992, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.2852, Val Loss 1.3965, Val Accuracy 0.3707, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.2795, Val Loss 1.4699, Val Accuracy 0.3706, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.2792, Val Loss 1.4701, Val Accuracy 0.3707, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.2790, Val Loss 1.4673, Val Accuracy 0.3710, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.2825, Val Loss 1.4666, Val Accuracy 0.3742, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.2815, Val Loss 1.4679, Val Accuracy 0.3765, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.2847, Val Loss 1.4636, Val Accuracy 0.3774, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.3338, Val Loss 1.1558, Val Accuracy 0.5229, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.3713, Val Loss 1.0275, Val Accuracy 0.5504, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.3827, Val Loss 1.0251, Val Accuracy 0.5576, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.3950, Val Loss 1.0499, Val Accuracy 0.5643, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.4051, Val Loss 1.1054, Val Accuracy 0.5650, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.4086, Val Loss 1.1887, Val Accuracy 0.5596, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.4156, Val Loss 1.2232, Val Accuracy 0.5615, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.4194, Val Loss 1.2869, Val Accuracy 0.5570, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.4245, Val Loss 1.3388, Val Accuracy 0.5574, Tammax 100, Batch size 512, Dropout 0.50, Bidirecional 0
